,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,B27002_001E,Total Race Population,B03001_003E,White,Black or African American,America Native,Asian,Native Pacific,Other,Two or More,Two or More Inclusive,Three or More,state,ZIP_CODE
334,ZCTA5 01590,104710.0,9404.0,44.1,48029.0,268.0,9404.0,9404.0,122.0,8822.0,208.0,0.0,196.0,15.0,21.0,142.0,0.0,142.0,25,01590
335,ZCTA5 01602,64942.0,22900.0,41.5,36792.0,2778.0,22816.0,22900.0,2031.0,18398.0,1691.0,26.0,1280.0,78.0,710.0,717.0,0.0,717.0,25,01602
336,ZCTA5 01603,42904.0,19731.0,36.1,24415.0,3885.0,19673.0,19731.0,4440.0,13231.0,2319.0,44.0,2558.0,4.0,932.0,643.0,149.0,494.0,25,01603
337,ZCTA5 01604,55665.0,38191.0,34.7,29183.0,6114.0,37953.0,38191.0,8684.0,24825.0,5440.0,476.0,3494.0,3.0,2508.0,1445.0,792.0,653.0,25,01604
338,ZCTA5 01605,40390.0,28533.0,32.6,23003.0,7398.0,27908.0,28533.0,8651.0,18217.0,5450.0,39.0,1534.0,4.0,1807.0,1482.0,171.0,1311.0,25,01605
339,ZCTA5 01606,65708.0,19896.0,41.3,35354.0,2064.0,19311.0,19896.0,2007.0,14981.0,2381.0,14.0,1179.0,0.0,391.0,950.0,123.0,827.0,25,01606
340,ZCTA5 01607,39928.0,8167.0,39.2,25319.0,1438.0,8149.0,8167.0,1347.0,5712.0,1759.0,0.0,292.0,0.0,233.0,171.0,68.0,103.0,25,01607
341,ZCTA5 01608,31384.0,4471.0,28.2,17598.0,1909.0,4465.0,4471.0,1947.0,2233.0,992.0,124.0,309.0,0.0,675.0,138.0,65.0,73.0,25,01608
342,ZCTA5 01609,45992.0,21628.0,33.2,31337.0,3856.0,21200.0,21628.0,3861.0,16787.0,1861.0,225.0,1139.0,0.0,995.0,621.0,78.0,543.0,25,01609
343,ZCTA5 01610,33695.0,22023.0,27.8,18452.0,4912.0,21774.0,22023.0,7568.0,14004.0,2762.0,176.0,1910.0,22.0,1976.0,1173.0,220.0,953.0,25,01610
344,ZCTA5 01611,98140.0,2277.0,44.1,39661.0,119.0,2277.0,2277.0,203.0,2038.0,85.0,0.0,7.0,10.0,50.0,87.0,6.0,81.0,25,01611
345,ZCTA5 01612,120469.0,4900.0,37.5,43878.0,130.0,4889.0,4900.0,195.0,4326.0,409.0,0.0,93.0,6.0,27.0,39.0,6.0,33.0,25,01612
346,ZCTA5 01701,111209.0,32590.0,45.8,53783.0,1411.0,32079.0,32590.0,2066.0,26428.0,1709.0,148.0,2665.0,0.0,1097.0,543.0,111.0,432.0,25,01701
347,ZCTA5 01702,65154.0,39799.0,34.9,33572.0,4419.0,38980.0,39799.0,9582.0,23907.0,3579.0,210.0,3033.0,65.0,7676.0,1329.0,272.0,1057.0,25,01702
348,ZCTA5 01718,170789.0,790.0,39.6,50593.0,54.0,790.0,790.0,79.0,449.0,0.0,0.0,203.0,0.0,0.0,138.0,0.0,138.0,25,01718
